ROIid;ROIabbr;ROIname;ROIcolor
153;lDefaultA_PFCd_3;17Networks_LH_DefaultA_PFCd_3;255 255 5
154;lDefaultA_pCunPCC_1;17Networks_LH_DefaultA_pCunPCC_1;255 254 1
155;lDefaultA_pCunPCC_2;17Networks_LH_DefaultA_pCunPCC_2;255 254 2
156;lDefaultA_pCunPCC_3;17Networks_LH_DefaultA_pCunPCC_3;255 254 3
157;lDefaultA_pCunPCC_4;17Networks_LH_DefaultA_pCunPCC_4;255 254 4
158;lDefaultA_pCunPCC_5;17Networks_LH_DefaultA_pCunPCC_5;255 254 5
159;lDefaultA_pCunPCC_6;17Networks_LH_DefaultA_pCunPCC_6;255 254 6
160;lDefaultA_pCunPCC_7;17Networks_LH_DefaultA_pCunPCC_7;255 254 7
161;lDefaultA_PFCm_1;17Networks_LH_DefaultA_PFCm_1;254 255 1
162;lDefaultA_PFCm_2;17Networks_LH_DefaultA_PFCm_2;254 255 2
163;lDefaultA_PFCm_3;17Networks_LH_DefaultA_PFCm_3;254 255 3
164;lDefaultA_PFCm_4;17Networks_LH_DefaultA_PFCm_4;254 255 4
165;lDefaultA_PFCm_5;17Networks_LH_DefaultA_PFCm_5;254 255 5
166;lDefaultA_PFCm_6;17Networks_LH_DefaultA_PFCm_6;254 255 6
167;lDefaultB_Temp_1;17Networks_LH_DefaultB_Temp_1;205 62 77
168;lDefaultB_Temp_2;17Networks_LH_DefaultB_Temp_2;205 62 79
169;lDefaultB_Temp_3;17Networks_LH_DefaultB_Temp_3;205 62 80
170;lDefaultB_Temp_4;17Networks_LH_DefaultB_Temp_4;205 62 81
171;lDefaultB_Temp_5;17Networks_LH_DefaultB_Temp_5;205 62 82
172;lDefaultB_Temp_6;17Networks_LH_DefaultB_Temp_6;205 62 83
173;lDefaultB_IPL_1;17Networks_LH_DefaultB_IPL_1;205 62 84
174;lDefaultB_IPL_2;17Networks_LH_DefaultB_IPL_2;205 62 85
175;lDefaultB_PFCd_1;17Networks_LH_DefaultB_PFCd_1;205 63 77
176;lDefaultB_PFCd_2;17Networks_LH_DefaultB_PFCd_2;205 63 79
177;lDefaultB_PFCd_3;17Networks_LH_DefaultB_PFCd_3;205 63 80
178;lDefaultB_PFCd_4;17Networks_LH_DefaultB_PFCd_4;205 63 81
179;lDefaultB_PFCd_5;17Networks_LH_DefaultB_PFCd_5;205 63 82
180;lDefaultB_PFCd_6;17Networks_LH_DefaultB_PFCd_6;205 63 83
181;lDefaultB_PFCl_1;17Networks_LH_DefaultB_PFCl_1;205 63 84
182;lDefaultB_PFCl_2;17Networks_LH_DefaultB_PFCl_2;205 63 85
183;lDefaultB_PFCv_1;17Networks_LH_DefaultB_PFCv_1;206 62 77
184;lDefaultB_PFCv_2;17Networks_LH_DefaultB_PFCv_2;206 62 79
185;lDefaultB_PFCv_3;17Networks_LH_DefaultB_PFCv_3;206 62 80
