# id;name;version;mpm;surface;default-granularity;high-granularity;sub-01;sub-02;sub-03;sub-04;sub-05;sub-06;sub-07;sub-08;sub-09;sub-10;sub-11;sub-12;sub-13;sub-14;sub-15;sub-16;sub-17;sub-18;sub-19;sub-20;sub-21;sub-22;sub-23;sub-24;sub-26
127;Area-3b;13.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
128;Area-hIP1;7.2;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
129;Area-hIP2;7.2;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
130;Area-5L;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
131;Area-5M;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
132;Area-7PC;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
133;Area-hIP3;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
134;Area-7A;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
135;Area-7M;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
136;Area-5Ci;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
145;Thalamus-MD;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
147;Thalamus-PUa;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
150;Thalamus-VLA;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
151;Thalamus-PUm;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
153;Thalamus-VLP;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
154;Thalamus-PUl;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
155;Thalamus-VPM;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
156;Thalamus-VPL;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
158;Thalamus-AV;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
159;Area-Id7;8.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
183;Area-s24;20.1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
184;Area-25;20.1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
185;Amygdala-SF;8.2;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
186;Amygdala-SF.AHi;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
187;Amygdala-LB;8.2;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
192;Hippocampus-Subc;13.2;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
206;Area-PF;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
208;Area-7P;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
211;Area-Fp2;5.1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0
212;Area-Fp1;5.1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0
216;Midbrain-SNC;3.1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
217;Midbrain-SNR;3.1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
219;Cerebellum-Nfast;6.3;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
223;Amygdala-IF.ld;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
224;Amygdala-MF.lm;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
225;Amygdala-IF.iol;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
226;Amygdala-IF.ice;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
227;Amygdala-MF.icm;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
228;Amygdala-VTM;8.2;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
231;Area-p24ab;20.1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
232;Area-p24c;20.1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
235;Amygdala-MF;8.2;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
236;Amygdala-SF.VCo;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
237;Amygdala-IF;8.2;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
238;Area-FG4;7.2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
239;Area-FG3;7.2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
240;Cerebellum-Ndentd;6.3;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
241;Cerebellum-Ndentv;6.3;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
242;Area-TeI;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
