ROIid;ROIabbr;ROIname;ROIcolor
126;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1;47 205 165
127;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2;47 205 166
128;rSomMotB_S2_3;17Networks_RH_SomMotB_S2_3;47 205 167
129;rSomMotB_S2_4;17Networks_RH_SomMotB_S2_4;47 205 168
130;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1;47 205 169
131;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1;78 156 62
132;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1;78 156 63
133;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1;79 155 62
134;rDorsAttnA_SPL_2;17Networks_RH_DorsAttnA_SPL_2;79 155 63
135;rDorsAttnA_SPL_3;17Networks_RH_DorsAttnA_SPL_3;79 155 64
136;rDorsAttnA_SPL_4;17Networks_RH_DorsAttnA_SPL_4;79 155 65
137;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1;5 118 16
138;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2;5 118 17
139;rDorsAttnB_PostC_3;17Networks_RH_DorsAttnB_PostC_3;5 118 18
140;rDorsAttnB_PostC_4;17Networks_RH_DorsAttnB_PostC_4;5 118 19
141;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1;5 119 15
142;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1;200 58 250
143;rSalVentAttnA_PrC_1;17Networks_RH_SalVentAttnA_PrC_1;200 57 251
144;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1;199 58 251
145;rSalVentAttnA_Ins_2;17Networks_RH_SalVentAttnA_Ins_2;199 58 252
146;rSalVentAttnA_FrOper_1;17Networks_RH_SalVentAttnA_FrOper_1;199 58 253
147;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1;199 57 251
148;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1;199 57 252
149;rSalVentAttnA_ParMed_2;17Networks_RH_SalVentAttnA_ParMed_2;199 57 253
150;rSalVentAttnA_FrMed_2;17Networks_RH_SalVentAttnA_FrMed_2;199 57 254
151;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1;250 152 214
152;rSalVentAttnB_PFClv_1;17Networks_RH_SalVentAttnB_PFClv_1;250 151 214
153;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1;250 151 215
154;rSalVentAttnB_Ins_1;17Networks_RH_SalVentAttnB_Ins_1;250 152 215
155;rSalVentAttnB_Ins_2;17Networks_RH_SalVentAttnB_Ins_2;250 152 216
156;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1;250 153 214
157;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1;126 135 52
158;rLimbicB_OFC_2;17Networks_RH_LimbicB_OFC_2;126 135 53
159;rLimbicB_OFC_3;17Networks_RH_LimbicB_OFC_3;126 135 54
160;rLimbicB_OFC_4;17Networks_RH_LimbicB_OFC_4;126 135 55
161;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1;224 248 166
162;rLimbicA_TempPole_2;17Networks_RH_LimbicA_TempPole_2;224 248 167
163;rLimbicA_TempPole_3;17Networks_RH_LimbicA_TempPole_3;224 248 168
164;rLimbicA_TempPole_4;17Networks_RH_LimbicA_TempPole_4;224 248 169
165;rContA_IPS_1;17Networks_RH_ContA_IPS_1;234 147 35
166;rContA_IPS_2;17Networks_RH_ContA_IPS_2;234 147 36
167;rContA_PFCd_1;17Networks_RH_ContA_PFCd_1;234 147 34
168;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1;233 148 35
169;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2;233 148 36
170;rContA_Cingm_1;17Networks_RH_ContA_Cingm_1;233 148 34
171;rContB_Temp_1;17Networks_RH_ContB_Temp_1;140 51 76
172;rContB_Temp_2;17Networks_RH_ContB_Temp_2;140 51 77
173;rContB_IPL_1;17Networks_RH_ContB_IPL_1;139 50 74
174;rContB_IPL_2;17Networks_RH_ContB_IPL_2;139 50 75
175;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1;139 49 75
176;rContB_PFCld_2;17Networks_RH_ContB_PFCld_2;139 49 76
177;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1;139 49 74
178;rContB_PFClv_2;17Networks_RH_ContB_PFClv_2;139 49 77
179;rContB_PFCmp_1;17Networks_RH_ContB_PFCmp_1;138 50 75
180;rContB_PFCld_3;17Networks_RH_ContB_PFCld_3;138 50 76
181;rContC_pCun_1;17Networks_RH_ContC_pCun_1;123 141 177
182;rContC_pCun_2;17Networks_RH_ContC_pCun_2;123 141 178
183;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1;123 141 179
184;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1;251 254 2
185;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1;251 255 3
186;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1;251 253 1
187;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1;249 255 1
188;rDefaultA_PFCm_2;17Networks_RH_DefaultA_PFCm_2;249 255 2
189;rDefaultA_PFCm_3;17Networks_RH_DefaultA_PFCm_3;249 255 3
190;rDefaultB_Temp_1;17Networks_RH_DefaultB_Temp_1;210 62 80
191;rDefaultB_AntTemp_1;17Networks_RH_DefaultB_AntTemp_1;210 63 79
192;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1;210 63 80
193;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1;209 62 78
194;rDefaultC_IPL_1;17Networks_RH_DefaultC_IPL_1;4 1 132
195;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1;5 0 131
196;rDefaultC_PHC_1;17Networks_RH_DefaultC_PHC_1;5 0 132
197;rTempPar_1;17Networks_RH_TempPar_1;16 48 255
198;rTempPar_2;17Networks_RH_TempPar_2;13 41 250
199;rTempPar_3;17Networks_RH_TempPar_3;13 41 251
200;rTempPar_4;17Networks_RH_TempPar_4;13 41 252
