ROIid;ROIappr;ROIname;ROIbase
111;lSubNig;Left Substancia-Nigra;Substancia_Nigra_left  & Substancia_Nigra_right 
112;rSubNig;Right Substancia-Nigra;Substancia_Nigra_left  & Substancia_Nigra_right 
113;lTap;Left Tapatum;Tapatum_left  & Tapatum_right 
114;rTap;Right Tapatum;Tapatum_left  & Tapatum_right 
115;lCauNuc;Left Caudate Nucleus;CAUDATE_NUCLEUS_left  & CAUDATE_NUCLEUS_right 
116;rCauNuc;Right Caudate Nucleus;CAUDATE_NUCLEUS_left  & CAUDATE_NUCLEUS_right 
117;lPut;Left Putamen;PUTAMEN_left  & PUTAMEN_right 
118;rPut;Right Putamen;PUTAMEN_left  & PUTAMEN_right 
119;lTha;Left Thalamus;THALAMUS_left  & THALAMUS_right 
120;rTha;Right Thalamus;THALAMUS_left  & THALAMUS_right 
121;lGloPal;Left Globus Pallidus;GLOBUS_PALLIDUS_left  & GLOBUS_PALLIDUS_right 
122;rGloPal;Right Globus Pallidus;GLOBUS_PALLIDUS_left  & GLOBUS_PALLIDUS_right 
123;lMBR;Left Midbrain;MIDBRAIN_left  & MIDBRAIN_right 
124;rMBR;Right Midbrain;MIDBRAIN_left  & MIDBRAIN_right 
125;lPNS;Left Pons;PONS_left  & PONS_right 
126;rPNS;Right Pons;PONS_left  & PONS_right 
127;lMDA;Left Medulla;MEDULLA_left  & MEDULLA_right 
128;rMDA;Right Medulla;MEDULLA_left  & MEDULLA_right 
